Category: All categories

Day,PETR3: (Brazil)
2020-01-01,0
2020-01-02,13
2020-01-03,23
2020-01-04,10
2020-01-05,2
2020-01-06,16
2020-01-07,14
2020-01-08,16
2020-01-09,17
2020-01-10,13
2020-01-11,3
2020-01-12,0
2020-01-13,14
2020-01-14,14
2020-01-15,14
2020-01-16,15
2020-01-17,13
2020-01-18,3
2020-01-19,2
2020-01-20,16
2020-01-21,16
2020-01-22,19
2020-01-23,20
2020-01-24,21
2020-01-25,2
2020-01-26,0
2020-01-27,22
2020-01-28,23
2020-01-29,25
2020-01-30,21
2020-01-31,16
2020-02-01,5
2020-02-02,6
2020-02-03,22
2020-02-04,31
2020-02-05,21
2020-02-06,33
2020-02-07,25
2020-02-08,7
2020-02-09,2
2020-02-10,19
2020-02-11,24
2020-02-12,23
2020-02-13,25
2020-02-14,16
2020-02-15,9
2020-02-16,2
2020-02-17,18
2020-02-18,23
2020-02-19,22
2020-02-20,34
2020-02-21,20
2020-02-22,2
2020-02-23,0
2020-02-24,4
2020-02-25,3
2020-02-26,25
2020-02-27,34
2020-02-28,29
2020-02-29,5
2020-03-01,5
2020-03-02,26
2020-03-03,25
2020-03-04,22
2020-03-05,20
2020-03-06,37
2020-03-07,6
2020-03-08,7
2020-03-09,100
2020-03-10,98
2020-03-11,65
2020-03-12,96
2020-03-13,88
2020-03-14,12
2020-03-15,16
2020-03-16,76
2020-03-17,62
2020-03-18,73
2020-03-19,65
2020-03-20,53
2020-03-21,14
2020-03-22,9
2020-03-23,42
2020-03-24,47
2020-03-25,52
2020-03-26,47
2020-03-27,50
2020-03-28,6
2020-03-29,6
2020-03-30,37
2020-03-31,35
2020-04-01,41
2020-04-02,54
2020-04-03,47
2020-04-04,1
2020-04-05,5
2020-04-06,33
2020-04-07,37
2020-04-08,30
2020-04-09,39
2020-04-10,8
2020-04-11,6
2020-04-12,4
2020-04-13,34
2020-04-14,32
2020-04-15,34
2020-04-16,29
2020-04-17,32
2020-04-18,8
2020-04-19,3
2020-04-20,42
2020-04-21,12
2020-04-22,34
2020-04-23,34
2020-04-24,32
2020-04-25,7
2020-04-26,3
2020-04-27,30
2020-04-28,26
2020-04-29,31
2020-04-30,29
2020-05-01,4
2020-05-02,4
2020-05-03,2
2020-05-04,20
2020-05-05,27
2020-05-06,23
2020-05-07,18
2020-05-08,28
2020-05-09,5
2020-05-10,2
2020-05-11,22
2020-05-12,20
2020-05-13,23
2020-05-14,19
2020-05-15,26
2020-05-16,4
2020-05-17,3
2020-05-18,26
2020-05-19,24
2020-05-20,20
2020-05-21,24
2020-05-22,22
2020-05-23,5
2020-05-24,6
2020-05-25,28
2020-05-26,23
2020-05-27,23
2020-05-28,23
2020-05-29,29
2020-05-30,4
2020-05-31,3
2020-06-01,16
2020-06-02,24
2020-06-03,24
2020-06-04,21
2020-06-05,26
2020-06-06,8
2020-06-07,3
2020-06-08,22
2020-06-09,26
2020-06-10,25
2020-06-11,9
2020-06-12,22
2020-06-13,3
2020-06-14,2
2020-06-15,17
2020-06-16,23
2020-06-17,19
2020-06-18,22
2020-06-19,19
2020-06-20,3
2020-06-21,0
2020-06-22,17
2020-06-23,22
2020-06-24,16
2020-06-25,16
2020-06-26,17
2020-06-27,4
2020-06-28,0
2020-06-29,17
2020-06-30,15
