Category: All categories

Day,PETR3: (Brazil)
2018-01-01,0
2018-01-02,13
2018-01-03,22
2018-01-04,31
2018-01-05,21
2018-01-06,6
2018-01-07,6
2018-01-08,13
2018-01-09,21
2018-01-10,17
2018-01-11,7
2018-01-12,23
2018-01-13,3
2018-01-14,0
2018-01-15,15
2018-01-16,20
2018-01-17,16
2018-01-18,18
2018-01-19,22
2018-01-20,7
2018-01-21,0
2018-01-22,18
2018-01-23,27
2018-01-24,28
2018-01-25,16
2018-01-26,23
2018-01-27,0
2018-01-28,0
2018-01-29,24
2018-01-30,22
2018-01-31,22
2018-02-01,18
2018-02-02,20
2018-02-03,7
2018-02-04,5
2018-02-05,18
2018-02-06,23
2018-02-07,22
2018-02-08,9
2018-02-09,6
2018-02-10,3
2018-02-11,6
2018-02-12,0
2018-02-13,3
2018-02-14,17
2018-02-15,18
2018-02-16,16
2018-02-17,0
2018-02-18,3
2018-02-19,15
2018-02-20,24
2018-02-21,18
2018-02-22,18
2018-02-23,18
2018-02-24,3
2018-02-25,6
2018-02-26,15
2018-02-27,18
2018-02-28,19
2018-03-01,27
2018-03-02,16
2018-03-03,0
2018-03-04,0
2018-03-05,20
2018-03-06,27
2018-03-07,16
2018-03-08,22
2018-03-09,24
2018-03-10,7
2018-03-11,3
2018-03-12,13
2018-03-13,22
2018-03-14,25
2018-03-15,18
2018-03-16,24
2018-03-17,0
2018-03-18,0
2018-03-19,14
2018-03-20,26
2018-03-21,16
2018-03-22,11
2018-03-23,14
2018-03-24,0
2018-03-25,0
2018-03-26,19
2018-03-27,6
2018-03-28,13
2018-03-29,18
2018-03-30,9
2018-03-31,0
2018-04-01,0
2018-04-02,16
2018-04-03,11
2018-04-04,14
2018-04-05,21
2018-04-06,21
2018-04-07,0
2018-04-08,0
2018-04-09,18
2018-04-10,20
2018-04-11,26
2018-04-12,22
2018-04-13,13
2018-04-14,0
2018-04-15,0
2018-04-16,21
2018-04-17,8
2018-04-18,16
2018-04-19,13
2018-04-20,14
2018-04-21,4
2018-04-22,0
2018-04-23,22
2018-04-24,17
2018-04-25,10
2018-04-26,14
2018-04-27,19
2018-04-28,0
2018-04-29,4
2018-04-30,19
2018-05-01,3
2018-05-02,18
2018-05-03,23
2018-05-04,17
2018-05-05,3
2018-05-06,0
2018-05-07,20
2018-05-08,30
2018-05-09,35
2018-05-10,41
2018-05-11,30
2018-05-12,7
2018-05-13,3
2018-05-14,29
2018-05-15,43
2018-05-16,33
2018-05-17,32
2018-05-18,37
2018-05-19,0
2018-05-20,6
2018-05-21,28
2018-05-22,32
2018-05-23,27
2018-05-24,62
2018-05-25,71
2018-05-26,10
2018-05-27,6
2018-05-28,77
2018-05-29,77
2018-05-30,61
2018-05-31,0
2018-06-01,100
2018-06-02,16
2018-06-03,0
2018-06-04,54
2018-06-05,37
2018-06-06,38
2018-06-07,39
2018-06-08,33
2018-06-09,12
2018-06-10,0
2018-06-11,21
2018-06-12,28
2018-06-13,28
2018-06-14,24
2018-06-15,26
2018-06-16,9
2018-06-17,0
2018-06-18,22
2018-06-19,21
2018-06-20,21
2018-06-21,23
2018-06-22,23
2018-06-23,3
2018-06-24,0
2018-06-25,25
2018-06-26,27
2018-06-27,25
2018-06-28,37
2018-06-29,24
2018-06-30,10
