Category: All categories

Day,Petrobras: (Brazil)
2020-01-01,6
2020-01-02,16
2020-01-03,27
2020-01-04,10
2020-01-05,7
2020-01-06,20
2020-01-07,20
2020-01-08,21
2020-01-09,17
2020-01-10,17
2020-01-11,6
2020-01-12,6
2020-01-13,15
2020-01-14,18
2020-01-15,17
2020-01-16,16
2020-01-17,14
2020-01-18,6
2020-01-19,5
2020-01-20,16
2020-01-21,16
2020-01-22,18
2020-01-23,15
2020-01-24,19
2020-01-25,8
2020-01-26,6
2020-01-27,21
2020-01-28,22
2020-01-29,19
2020-01-30,19
2020-01-31,21
2020-02-01,10
2020-02-02,8
2020-02-03,18
2020-02-04,21
2020-02-05,20
2020-02-06,25
2020-02-07,20
2020-02-08,10
2020-02-09,7
2020-02-10,17
2020-02-11,20
2020-02-12,18
2020-02-13,17
2020-02-14,18
2020-02-15,9
2020-02-16,7
2020-02-17,18
2020-02-18,20
2020-02-19,22
2020-02-20,31
2020-02-21,20
2020-02-22,8
2020-02-23,8
2020-02-24,8
2020-02-25,9
2020-02-26,21
2020-02-27,25
2020-02-28,27
2020-02-29,11
2020-03-01,7
2020-03-02,21
2020-03-03,20
2020-03-04,21
2020-03-05,20
2020-03-06,26
2020-03-07,9
2020-03-08,8
2020-03-09,95
2020-03-10,90
2020-03-11,68
2020-03-12,100
2020-03-13,90
2020-03-14,21
2020-03-15,14
2020-03-16,74
2020-03-17,59
2020-03-18,65
2020-03-19,59
2020-03-20,55
2020-03-21,16
2020-03-22,11
2020-03-23,42
2020-03-24,42
2020-03-25,47
2020-03-26,47
2020-03-27,42
2020-03-28,13
2020-03-29,10
2020-03-30,35
2020-03-31,34
2020-04-01,37
2020-04-02,46
2020-04-03,43
2020-04-04,12
2020-04-05,10
2020-04-06,34
2020-04-07,33
2020-04-08,31
2020-04-09,39
2020-04-10,14
2020-04-11,9
2020-04-12,7
2020-04-13,29
2020-04-14,30
2020-04-15,32
2020-04-16,28
2020-04-17,30
2020-04-18,12
2020-04-19,9
2020-04-20,39
2020-04-21,25
2020-04-22,35
2020-04-23,29
2020-04-24,35
2020-04-25,12
2020-04-26,8
2020-04-27,26
2020-04-28,26
2020-04-29,35
2020-04-30,37
2020-05-01,13
2020-05-02,9
2020-05-03,6
2020-05-04,24
2020-05-05,24
2020-05-06,24
2020-05-07,23
2020-05-08,21
2020-05-09,10
2020-05-10,6
2020-05-11,23
2020-05-12,22
2020-05-13,23
2020-05-14,25
2020-05-15,26
2020-05-16,7
2020-05-17,7
2020-05-18,23
2020-05-19,22
2020-05-20,23
2020-05-21,23
2020-05-22,21
2020-05-23,8
2020-05-24,6
2020-05-25,22
2020-05-26,22
2020-05-27,25
2020-05-28,20
2020-05-29,21
2020-05-30,9
2020-05-31,5
2020-06-01,22
2020-06-02,23
2020-06-03,24
2020-06-04,23
2020-06-05,25
2020-06-06,10
2020-06-07,8
2020-06-08,24
2020-06-09,24
2020-06-10,23
2020-06-11,12
2020-06-12,22
2020-06-13,8
2020-06-14,8
2020-06-15,22
2020-06-16,21
2020-06-17,21
2020-06-18,22
2020-06-19,21
2020-06-20,9
2020-06-21,7
2020-06-22,22
2020-06-23,21
2020-06-24,21
2020-06-25,19
2020-06-26,19
2020-06-27,8
2020-06-28,7
2020-06-29,20
2020-06-30,20
